"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 07월 23일","20,260","20,085","20,370","20,085","1.34M","0.97%"
"2021년 07월 22일","20,065","20,000","20,130","19,805","1.46M","0.65%"
"2021년 07월 21일","19,935","20,060","20,110","19,715","1.96M","0.13%"
"2021년 07월 20일","19,910","20,030","20,410","19,595","2.99M","-2.16%"
"2021년 07월 19일","20,350","20,015","20,375","19,940","0.01K","1.09%"
"2021년 07월 18일","20,130","20,130","20,130","20,130","-","0.00%"
"2021년 07월 16일","20,130","19,885","20,145","19,800","2.30M","1.23%"
"2021년 07월 15일","19,885","19,750","20,010","19,665","2.38M","1.07%"
"2021년 07월 14일","19,675","19,260","19,735","19,250","4.65M","1.42%"
"2021년 07월 13일","19,400","19,005","19,400","19,005","0.09K","2.32%"
"2021년 07월 12일","18,960","18,925","18,990","18,695","2.87M","0.37%"
"2021년 07월 09일","18,890","18,480","18,890","18,260","1.64M","1.12%"
"2021년 07월 08일","18,680","18,835","18,865","18,500","1.27M","-0.53%"
"2021년 07월 07일","18,780","18,620","18,845","18,505","4.20M","0.86%"
"2021년 07월 06일","18,620","18,545","18,635","18,520","0.12K","0.76%"
"2021년 07월 05일","18,480","18,350","18,535","18,350","511.15K","0.71%"
"2021년 07월 02일","18,350","18,470","18,560","18,285","448.89K","-0.65%"
"2021년 07월 01일","18,470","18,545","18,600","18,325","736.53K","-0.24%"
"2021년 06월 30일","18,515","18,385","18,575","18,380","853.90K","0.71%"
"2021년 06월 29일","18,385","18,240","18,420","18,240","552.43K","0.96%"
"2021년 06월 28일","18,210","18,335","18,410","18,170","480.00K","-0.60%"
"2021년 06월 25일","18,320","18,510","18,565","18,295","612.82K","-0.35%"
"2021년 06월 24일","18,385","18,400","18,555","18,315","1.36M","0.30%"
"2021년 06월 23일","18,330","18,050","18,400","18,035","1.43M","1.61%"
"2021년 06월 22일","18,040","18,135","18,185","17,910","497.08K","-0.30%"
"2021년 06월 21일","18,095","17,955","18,175","17,830","580.00K","-0.11%"
"2021년 06월 18일","18,115","17,945","18,150","17,945","1.08M","1.00%"
"2021년 06월 17일","17,935","17,630","17,950","17,580","645.28K","1.44%"
"2021년 06월 16일","17,680","17,675","17,720","17,625","312.80K","-0.23%"
"2021년 06월 15일","17,720","17,735","17,890","17,660","550.06K","0.11%"
"2021년 06월 14일","17,700","17,640","17,725","17,605","0.02K","0.48%"
"2021년 06월 11일","17,615","17,255","17,665","17,255","609.54K","2.23%"
"2021년 06월 10일","17,230","17,070","17,240","16,985","180.50K","0.76%"
"2021년 06월 09일","17,100","17,220","17,285","17,080","192.54K","-0.61%"
"2021년 06월 08일","17,205","17,295","17,310","17,170","266.24K","-0.52%"
"2021년 06월 07일","17,295","17,315","17,410","17,200","255.27K","0.14%"
"2021년 06월 06일","17,270","17,270","17,270","17,270","-","0.00%"
"2021년 06월 04일","17,270","17,180","17,275","17,105","256.24K","0.14%"
"2021년 06월 03일","17,245","17,015","17,280","17,010","226.40K","1.35%"
"2021년 06월 02일","17,015","17,125","17,205","16,990","247.03K","-0.50%"
"2021년 06월 01일","17,100","17,050","17,190","16,955","439.14K","0.06%"
"2021년 05월 31일","17,090","17,525","17,570","16,990","519.23K","-2.45%"
"2021년 05월 28일","17,520","17,475","17,590","17,280","326.18K","0.06%"
"2021년 05월 27일","17,510","17,470","17,520","17,235","275.81K","0.46%"
"2021년 05월 26일","17,430","17,550","17,670","17,430","314.07K","-0.68%"
"2021년 05월 25일","17,550","17,545","17,575","17,435","321.44K","0.72%"
"2021년 05월 24일","17,425","17,655","17,655","17,405","294.55K","-1.33%"
"2021년 05월 21일","17,660","17,735","17,850","17,540","525.62K","0.43%"
"2021년 05월 20일","17,585","17,480","17,625","17,380","337.82K","0.98%"
"2021년 05월 18일","17,415","17,275","17,460","17,200","293.80K","0.87%"
"2021년 05월 17일","17,265","17,455","17,550","17,175","385.19K","-0.20%"
"2021년 05월 14일","17,300","17,100","17,400","17,060","586.49K","2.19%"
"2021년 05월 13일","16,930","17,025","17,215","16,805","857.39K","-3.26%"
"2021년 05월 12일","17,500","17,750","17,825","17,260","645.45K","-1.60%"
"2021년 05월 11일","17,785","18,000","18,045","17,655","808.54K","-2.15%"
"2021년 05월 10일","18,175","18,225","18,280","18,130","440.14K","0.58%"
"2021년 05월 07일","18,070","18,030","18,170","18,015","318.14K","0.50%"
"2021년 05월 06일","17,980","17,790","18,000","17,780","345.40K","0.22%"
"2021년 05월 05일","17,940","17,940","17,940","17,940","-","0.00%"
"2021년 05월 04일","17,940","17,395","17,940","17,390","582.20K","2.34%"
"2021년 05월 03일","17,530","18,000","18,040","17,465","857.29K","-3.36%"
"2021년 04월 30일","18,140","18,285","18,355","17,930","803.37K","-0.74%"
