"날짜","종가","오픈","고가","저가","변동 %"
"2018년 05월 15일","1.1838","1.1925","1.1939","1.1817","-0.75%"
"2018년 05월 14일","1.1927","1.1947","1.1998","1.1926","-0.14%"
"2018년 05월 11일","1.1944","1.1917","1.1970","1.1891","0.24%"
"2018년 05월 10일","1.1915","1.1852","1.1948","1.1843","0.55%"
"2018년 05월 09일","1.1850","1.1863","1.1898","1.1822","-0.12%"
"2018년 05월 08일","1.1864","1.1924","1.1941","1.1838","-0.49%"
"2018년 05월 07일","1.1922","1.1953","1.1980","1.1898","-0.32%"
"2018년 05월 04일","1.1960","1.1989","1.1997","1.1911","-0.23%"
"2018년 05월 03일","1.1988","1.1951","1.2009","1.1946","0.31%"
"2018년 05월 02일","1.1951","1.1992","1.2033","1.1938","-0.35%"
"2018년 05월 01일","1.1993","1.2076","1.2086","1.1981","-0.71%"
"2018년 04월 30일","1.2079","1.2125","1.2141","1.2064","-0.42%"
"2018년 04월 27일","1.2130","1.2105","1.2135","1.2055","0.22%"
"2018년 04월 26일","1.2103","1.2161","1.2211","1.2096","-0.48%"
"2018년 04월 25일","1.2161","1.2232","1.2240","1.2160","-0.58%"
"2018년 04월 24일","1.2232","1.2209","1.2247","1.2182","0.19%"
"2018년 04월 23일","1.2209","1.2289","1.2292","1.2198","-0.64%"
"2018년 04월 20일","1.2288","1.2346","1.2354","1.2250","-0.47%"
"2018년 04월 19일","1.2346","1.2373","1.2402","1.2329","-0.22%"
"2018년 04월 18일","1.2373","1.2369","1.2398","1.2343","0.02%"
"2018년 04월 17일","1.2370","1.2378","1.2413","1.2335","-0.08%"
"2018년 04월 16일","1.2380","1.2330","1.2395","1.2325","0.40%"
"2018년 04월 13일","1.2331","1.2327","1.2348","1.2307","0.03%"
"2018년 04월 12일","1.2327","1.2368","1.2382","1.2300","-0.32%"
"2018년 04월 11일","1.2367","1.2357","1.2397","1.2347","0.09%"
"2018년 04월 10일","1.2356","1.2320","1.2379","1.2303","0.28%"
"2018년 04월 09일","1.2321","1.2279","1.2331","1.2261","0.31%"
"2018년 04월 06일","1.2283","1.2240","1.2292","1.2214","0.35%"
"2018년 04월 05일","1.2240","1.2278","1.2292","1.2218","-0.31%"
"2018년 04월 04일","1.2278","1.2269","1.2315","1.2256","0.07%"
"2018년 04월 03일","1.2270","1.2304","1.2336","1.2253","-0.26%"
"2018년 04월 02일","1.2302","1.2323","1.2346","1.2282","-0.17%"
"2018년 03월 30일","1.2323","1.2301","1.2331","1.2293","0.17%"
"2018년 03월 29일","1.2302","1.2308","1.2335","1.2282","-0.05%"
"2018년 03월 28일","1.2308","1.2403","1.2424","1.2300","-0.77%"
"2018년 03월 27일","1.2403","1.2444","1.2478","1.2373","-0.32%"
"2018년 03월 26일","1.2443","1.2348","1.2463","1.2341","0.73%"
"2018년 03월 23일","1.2353","1.2302","1.2375","1.2301","0.41%"
"2018년 03월 22일","1.2302","1.2337","1.2389","1.2285","-0.29%"
"2018년 03월 21일","1.2338","1.2242","1.2351","1.2241","0.78%"
"2018년 03월 20일","1.2242","1.2335","1.2356","1.2239","-0.75%"
"2018년 03월 19일","1.2335","1.2284","1.2361","1.2258","0.37%"
"2018년 03월 16일","1.2289","1.2305","1.2338","1.2261","-0.13%"
"2018년 03월 15일","1.2305","1.2366","1.2385","1.2299","-0.50%"
"2018년 03월 14일","1.2367","1.2390","1.2414","1.2347","-0.19%"
"2018년 03월 13일","1.2390","1.2334","1.2408","1.2314","0.45%"
"2018년 03월 12일","1.2334","1.2311","1.2347","1.2291","0.22%"
"2018년 03월 09일","1.2307","1.2312","1.2336","1.2273","-0.04%"
"2018년 03월 08일","1.2312","1.2411","1.2448","1.2298","-0.81%"
"2018년 03월 07일","1.2413","1.2404","1.2445","1.2385","0.07%"
"2018년 03월 06일","1.2404","1.2336","1.2422","1.2328","0.55%"
"2018년 03월 05일","1.2336","1.2323","1.2366","1.2268","0.15%"
"2018년 03월 02일","1.2317","1.2266","1.2336","1.2250","0.40%"
"2018년 03월 01일","1.2268","1.2193","1.2272","1.2153","0.61%"
"2018년 02월 28일","1.2194","1.2232","1.2243","1.2188","-0.31%"
"2018년 02월 27일","1.2232","1.2317","1.2348","1.2221","-0.70%"
"2018년 02월 26일","1.2318","1.2299","1.2356","1.2278","0.20%"
"2018년 02월 23일","1.2293","1.2329","1.2337","1.2279","-0.31%"
"2018년 02월 22일","1.2331","1.2283","1.2354","1.2260","0.38%"
"2018년 02월 21일","1.2284","1.2338","1.2361","1.2281","-0.44%"
"2018년 02월 20일","1.2338","1.2409","1.2414","1.2320","-0.56%"
"2018년 02월 19일","1.2408","1.2409","1.2435","1.2368","0.02%"
"2018년 02월 16일","1.2406","1.2506","1.2557","1.2394","-0.80%"
"2018년 02월 15일","1.2506","1.2449","1.2511","1.2447","0.45%"
"2018년 02월 14일","1.2450","1.2352","1.2467","1.2276","0.79%"
"2018년 02월 13일","1.2352","1.2293","1.2373","1.2285","0.49%"
"2018년 02월 12일","1.2292","1.2253","1.2298","1.2234","0.47%"
"2018년 02월 09일","1.2235","1.2245","1.2289","1.2206","-0.10%"
"2018년 02월 08일","1.2247","1.2264","1.2297","1.2212","-0.14%"
"2018년 02월 07일","1.2264","1.2378","1.2407","1.2247","-0.91%"
"2018년 02월 06일","1.2377","1.2367","1.2434","1.2314","0.07%"
"2018년 02월 05일","1.2368","1.2455","1.2475","1.2362","-0.75%"
"2018년 02월 02일","1.2462","1.2508","1.2519","1.2409","-0.38%"
"2018년 02월 01일","1.2510","1.2414","1.2524","1.2386","0.72%"
"2018년 01월 31일","1.2421","1.2401","1.2476","1.2386","0.15%"
"2018년 01월 30일","1.2402","1.2383","1.2455","1.2335","0.15%"
"2018년 01월 29일","1.2383","1.2427","1.2436","1.2336","-0.31%"
"2018년 01월 26일","1.2421","1.2395","1.2495","1.2371","0.20%"
"2018년 01월 25일","1.2396","1.2408","1.2537","1.2364","-0.10%"
"2018년 01월 24일","1.2408","1.2299","1.2417","1.2293","0.89%"
"2018년 01월 23일","1.2299","1.2263","1.2308","1.2223","0.30%"
"2018년 01월 22일","1.2262","1.2268","1.2276","1.2214","0.33%"
"2018년 01월 19일","1.2222","1.2236","1.2296","1.2219","-0.14%"
"2018년 01월 18일","1.2239","1.2186","1.2267","1.2165","0.43%"
"2018년 01월 17일","1.2186","1.2260","1.2324","1.2176","-0.61%"
"2018년 01월 16일","1.2261","1.2265","1.2284","1.2194","-0.02%"
"2018년 01월 15일","1.2263","1.2198","1.2298","1.2188","0.62%"
"2018년 01월 12일","1.2187","1.2033","1.2190","1.2031","1.29%"
"2018년 01월 11일","1.2032","1.1946","1.2060","1.1928","0.71%"
"2018년 01월 10일","1.1947","1.1938","1.2019","1.1923","0.08%"
"2018년 01월 09일","1.1937","1.1967","1.1977","1.1916","-0.25%"
"2018년 01월 08일","1.1967","1.2029","1.2054","1.1956","-0.52%"
"2018년 01월 05일","1.2030","1.2068","1.2085","1.2021","-0.31%"
"2018년 01월 04일","1.2068","1.2015","1.2090","1.2004","0.45%"
"2018년 01월 03일","1.2014","1.2058","1.2070","1.2001","-0.37%"
"2018년 01월 02일","1.2059","1.2013","1.2084","1.2003","0.41%"
"2018년 01월 01일","1.2010","1.2003","1.2014","1.1995","0.10%"
"2017년 12월 29일","1.1998","1.1943","1.2030","1.1937","0.46%"
"2017년 12월 28일","1.1943","1.1888","1.1961","1.1888","0.46%"
"2017년 12월 27일","1.1888","1.1859","1.1912","1.1855","0.24%"
"2017년 12월 26일","1.1859","1.1867","1.1879","1.1845","-0.08%"
"2017년 12월 25일","1.1869","1.1850","1.1882","1.1842","0.08%"
"2017년 12월 22일","1.1859","1.1874","1.1878","1.1817","-0.12%"
"2017년 12월 21일","1.1873","1.1871","1.1889","1.1848","0.02%"
